URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2061,https://insights.blackcoffer.com/ai-and-nlp-based-solutions-to-automate-data-discovery-for-venture-capital-and-private-equity-principals/,11,6,1,0.04415584404,21.06060606,32.42009132,21.39227895,21.06060606,142,438,2.221461187,41,6.657534247
bctech2047,https://insights.blackcoffer.com/design-and-develop-mlops-framework-for-data-centric-ai/,15,3,1,0.06716417885,42.8,41.10032362,33.56012945,42.8,127,309,2.417475728,14,6.530744337
bctech2049,https://insights.blackcoffer.com/an-etl-tool-to-pull-data-from-shiphero-to-google-bigquery-data-warehouse/,12,8,1,0.07380073774,29.52941176,38.03680982,27.02648863,29.52941176,124,326,2.325153374,19,6.358895706
bctech2068,https://insights.blackcoffer.com/advanced-ai-for-trading-automation/,13,5,1,0.08450704186,17.34782609,35.91836735,21.30647737,17.34782609,88,245,2.457142857,13,6.587755102
bctech2059,https://insights.blackcoffer.com/analytical-solution-for-a-tech-firm/,18,13,1,0.1490384608,28.46153846,34.87394958,25.33419522,28.46153846,83,238,2.281512605,5,6.617647059
bctech2070,https://insights.blackcoffer.com/advanced-ai-for-thermal-person-detection/,6,2,1,0.09638554101,18.42857143,36.84210526,22.10827068,18.42857143,35,95,2.389473684,4,6.726315789
bctech2062,https://insights.blackcoffer.com/an-etl-solution-for-an-internet-publishing-firm/,16,5,1,0.07266435961,23.5,28.96935933,20.98774373,23.5,104,359,2.08913649,25,6.080779944
bctech2065,https://insights.blackcoffer.com/ai-solutions-for-foreign-exchange-an-automated-algo-trading-tool/,10,5,1,0.06097560951,26.1875,31.98529412,23.26911765,26.1875,87,272,2.191176471,11,6.628676471
bctech2064,https://insights.blackcoffer.com/equity-waterfalls-model-based-saas-application-for-real-estate-sector/,5,5,1,0.0432900431,14.53333333,42.32209738,22.74217228,14.53333333,113,267,2.400749064,20,6.707865169
bctech2066,https://insights.blackcoffer.com/ai-agent-development-and-deployment-in-jina-ai/,12,9,1,0.1544117636,29.75,37.26708075,26.8068323,29.75,60,161,2.428571429,10,6.813664596
bctech2067,https://insights.blackcoffer.com/golden-record-a-knowledge-graph-database-approach-to-unfold-discovery-using-neo4j/,18,6,1,0.09599999962,22.36363636,32.32323232,21.87474747,22.36363636,96,297,2.215488215,27,6.410774411
bctech2063,https://insights.blackcoffer.com/ai-based-algorithmic-trading-bot-for-forex/,12,12,1,0.079734219,18.4375,26.14555256,17.83322102,18.4375,97,371,2.067385445,33,5.959568733
bctech2072,https://insights.blackcoffer.com/advanced-ai-for-pedestrian-crossing-safety/,8,5,1,0.1023622039,23.55555556,36.80555556,24.14444444,23.55555556,53,144,2.416666667,8,6.9375
bctech2075,https://insights.blackcoffer.com/car-detection-in-satellite-images/,13,2,1,0.07177033458,17.34782609,33.33333333,20.27246377,17.34782609,79,237,2.312236287,19,6.654008439
bctech2074,https://insights.blackcoffer.com/using-graph-technology-to-create-single-customer-view/,6,10,-1,0.1134751765,16,45.85987261,24.74394904,16,72,157,2.566878981,8,7.089171975
bctech2073,https://insights.blackcoffer.com/handgun-detection-using-yolo/,7,2,1,0.0927835042,20.28571429,41.12149533,24.56288385,20.28571429,44,107,2.542056075,5,7.196261682
bctech2069,https://insights.blackcoffer.com/create-a-knowledge-graph-to-provide-real-time-analytics-recommendations-and-a-single-source-of-truth/,7,7,1,0.1021897803,20.54545455,44.23076923,25.91048951,20.54545455,69,156,2.512820513,6,6.942307692
bctech2078,https://insights.blackcoffer.com/data-transformation/,22,13,1,0.1268115937,18.21428571,28.42809365,18.65695174,18.21428571,85,299,2.210702341,27,6.357859532
bctech2079,https://insights.blackcoffer.com/e-commerce-store-analysis-purchase-behavior-ad-spend-conversion-traffic-etc/,7,1,1,0.03404255305,19.66666667,47.9704797,27.05485855,19.66666667,130,271,2.505535055,18,6.619926199
bctech2080,https://insights.blackcoffer.com/kpi-dashboard-for-accountants/,11,0,0.9999999091,0.05472636789,24.14285714,39.90825688,25.62044561,24.14285714,87,218,2.422018349,17,6.926605505
bctech2083,https://insights.blackcoffer.com/algorithmic-trading-for-multiple-commodities-markets-like-forex-metals-energy-etc/,9,1,1,0.04672897174,20.55555556,39.59183673,24.05895692,20.55555556,97,245,2.416326531,17,6.902040816
bctech2071,https://insights.blackcoffer.com/advanced-ai-for-road-cam-threat-detection/,6,9,-1,0.127118643,16.90909091,37.69230769,21.84055944,16.90909091,49,130,2.469230769,5,7
bctech2077,https://insights.blackcoffer.com/connecting-mongodb-database-to-power-bi-dashboard-dashboard-automation/,8,7,1,0.05703422032,22.66666667,40.12944984,25.1184466,22.66666667,124,309,2.326860841,26,6.368932039
bctech2076,https://insights.blackcoffer.com/building-a-physics-informed-neural-network-for-circuit-evaluation/,17,5,1,0.09053497905,17.76,41.07142857,23.53257143,17.76,115,280,2.464285714,22,6.989285714
bctech2082,https://insights.blackcoffer.com/ranking-customer-behaviours-for-business-strategy/,9,8,1,0.06719367562,30.06666667,29.89323843,23.98396204,30.06666667,84,281,2.170818505,14,6.323843416
bctech2081,https://insights.blackcoffer.com/return-on-advertising-spend-dashboard-marketing-automation-and-analytics-using-etl-and-dashboard/,26,7,1,0.05999999989,21.325,44.74576271,26.42830508,21.325,264,590,2.555932203,18,7.03559322
bctech2084,https://insights.blackcoffer.com/trading-bot-for-forex/,3,3,1,0.04195804166,25.33333333,19.35483871,17.87526882,25.33333333,30,155,1.967741935,6,5.6
bctech2091,https://insights.blackcoffer.com/an-agent-based-model-of-a-virtual-power-plant-vpp/,4,3,1,0.03240740726,23,38.36734694,24.54693878,23,94,245,2.330612245,11,6.718367347
bctech2090,https://insights.blackcoffer.com/etl-and-mlops-infrastructure-for-blockchain-analytics/,5,3,1,0.02531645562,24.04545455,33.14285714,22.87532468,24.04545455,116,350,2.125714286,9,6.451428571
bctech2092,https://insights.blackcoffer.com/transform-api-into-sdk-library-and-widget/,11,1,1,0.09160305274,33.85714286,32.16783217,26.40999001,33.85714286,46,143,2.356643357,12,6.825174825
bctech2085,https://insights.blackcoffer.com/python-model-for-the-analysis-of-sector-specific-stock-etfs-for-investment-purposes%ef%bf%bc/,10,3,1,0.06161137412,26,37.75100402,25.50040161,26,94,249,2.37751004,10,6.734939759
bctech2086,https://insights.blackcoffer.com/medical-classification/,12,5,1,0.07112970682,23.52941176,37.82771536,24.54285085,23.52941176,101,267,2.280898876,11,6.539325843
bctech2095,https://insights.blackcoffer.com/integration-of-video-conferencing-data-to-the-existing-web-app/,2,1,1,0.01639344253,23.27272727,32.82051282,22.43729604,23.27272727,64,195,2.230769231,4,6.266666667
bctech2097,https://insights.blackcoffer.com/auvik-connectwise-integration-in-grafana/,4,5,-1,0.04568527896,16.76190476,39.01345291,22.31014307,16.76190476,87,223,2.32735426,10,6.618834081
bctech2087,https://insights.blackcoffer.com/design-develop-bert-question-answering-model-explanations-with-visualization/,7,2,1,0.0473684208,26.53846154,31.64556962,23.27361246,26.53846154,75,237,2.244725738,18,6.518987342
bctech2098,https://insights.blackcoffer.com/data-integration-and-big-data-performance-using-elk-stack/,5,3,1,0.03076923065,14.9,33.88704319,19.51481728,14.9,102,301,2.408637874,11,6.700996678
bctech2088,https://insights.blackcoffer.com/design-and-develop-solution-to-anomaly-detection-classification-problems/,9,16,-1,0.1453488364,22.15384615,47.89473684,28.0194332,22.15384615,91,190,2.742105263,11,7.152631579
bctech2099,https://insights.blackcoffer.com/web-data-connector/,2,2,1,0.01538461533,14.1875,32.63888889,18.73055556,14.1875,94,288,2.232638889,13,6.326388889
bctech2089,https://insights.blackcoffer.com/an-etl-solution-for-currency-data-to-google-big-query/,2,18,-1,0.0943396222,20.89473684,34.73282443,22.25102451,20.89473684,91,262,2.301526718,21,6.263358779
bctech2100,https://insights.blackcoffer.com/an-app-for-updating-the-email-id-of-the-user-and-stripe-refund-tool-using-retool/,9,1,1,0.05649717482,101.6666667,37.62376238,55.71617162,101.6666667,76,202,2.188118812,6,5.777227723
bctech2103,https://insights.blackcoffer.com/dashboard-to-track-the-analytics-of-the-website-using-google-analytics-and-google-tag-manager/,33,1,1,0.05841924389,22.18367347,44.32677761,26.60418043,22.18367347,293,661,2.468986384,31,6.704992436
bctech2105,https://insights.blackcoffer.com/nft-data-automation-looksrare-and-etl-tool/,10,4,1,0.06730769198,19.28571429,29.79591837,19.63265306,19.28571429,73,245,2.212244898,17,6.167346939
bctech2106,https://insights.blackcoffer.com/optimize-the-data-scraper-program-to-easily-accommodate-large-files-and-solve-oom-errors/,8,6,1,0.09655172347,19.23076923,30.12048193,19.74050046,19.23076923,50,166,2.295180723,5,6.662650602
bctech2107,https://insights.blackcoffer.com/making-a-robust-way-to-sync-data-from-airtables-to-mongodb-using-python-etl-solution/,6,7,-1,0.06132075443,19.6,29.218107,19.5272428,19.6,71,243,2.21399177,13,6.378600823
bctech2093,https://insights.blackcoffer.com/integration-of-a-product-to-a-cloud-based-crm-platform/,8,7,1,0.07537688404,15.65,30,18.26,15.65,66,220,2.204545455,3,6.472727273
bctech2094,https://insights.blackcoffer.com/a-web-based-dashboard-for-the-filtered-data-retrieval-of-land-records/,13,4,1,0.072033898,23.30769231,28.74493927,20.82105263,23.30769231,71,247,2.153846154,3,6.319838057
bctech2096,https://insights.blackcoffer.com/design-develop-an-app-in-retool-which-shows-the-progress-of-the-added-video/,6,0,0.9999998333,0.04347826055,119,33.78378378,61.11351351,119,50,148,2.162162162,6,6.243243243
bctech2111,https://insights.blackcoffer.com/power-bi-dashboard-to-drive-insights-from-complex-data-to-generate-business-insights/,6,3,1,0.04477611918,19.10526316,30.53097345,19.85449464,19.10526316,69,226,2.159292035,11,6.234513274
bctech2113,https://insights.blackcoffer.com/electric-vehicles-ev-load-management-system-to-forecast-energy-demand/,9,6,1,0.05434782589,23.15,36.25,23.76,23.15,116,320,2.31875,18,6.41875
bctech2114,https://insights.blackcoffer.com/power-bi-data-driven-map-dashboard/,6,0,0.9999998333,0.04285714255,24.5,31.09756098,22.23902439,24.5,51,164,2.201219512,4,6.408536585
bctech2101,https://insights.blackcoffer.com/an-ai-ml-based-web-application-that-detects-the-correctness-of-text-in-a-given-video/,4,9,-1,0.06701030893,59,33.18584071,36.87433628,59,75,226,2.181415929,11,6.35840708
bctech2104,https://insights.blackcoffer.com/power-bi-dashboard-on-operations-transactions-and-marketing-embedding-the-dashboard-to-web-app/,4,5,-1,0.05294117616,16.375,40.81632653,22.87653061,16.375,80,196,2.37755102,5,6.576530612
bctech2102,https://insights.blackcoffer.com/website-tracking-and-insights-using-google-analytics-google-tag-manager/,31,2,1,0.0574912891,20.03773585,48.40764331,27.37815166,20.03773585,304,628,2.433121019,42,6.71656051
bctech2115,https://insights.blackcoffer.com/google-local-service-ads-lsa-leads-dashboard/,52,7,1,0.114785992,17.41818182,36.79867987,21.68674467,17.41818182,223,606,2.351485149,37,6.475247525
bctech2117,https://insights.blackcoffer.com/metabridges-api-decentraland-integration/,2,3,-1,0.02336448587,18.875,38.66666667,23.01666667,18.875,87,225,2.195555556,4,6.297777778
bctech2108,https://insights.blackcoffer.com/incident-duration-prediction-infrastructure-and-real-estate/,4,1,1,0.03496503472,20.08333333,46.42857143,26.6047619,20.08333333,78,168,2.511904762,7,6.928571429
bctech2119,https://insights.blackcoffer.com/impact-of-news-media-and-press-on-innovation-startups-and-investments/,13,4,1,0.09392265141,16.55,36.63366337,21.27346535,16.55,74,202,2.326732673,13,6.277227723
bctech2120,https://insights.blackcoffer.com/aws-quicksight-reporting-dashboard/,11,4,1,0.04545454532,29.11111111,28.45528455,23.02655827,29.11111111,105,369,2.127371274,17,6.027100271
bctech2110,https://insights.blackcoffer.com/database-normalization-segmentation-with-google-data-studio-dashboard-insights/,6,0,0.9999998333,0.03973509907,14.41176471,41.47727273,22.35561497,14.41176471,73,176,2.471590909,9,6.607954545
bctech2109,https://insights.blackcoffer.com/statistical-data-analysis-of-reinforced-concrete/,9,3,1,0.03846153834,31.25,43.34365325,29.8374613,31.25,140,323,2.476780186,16,7.108359133
bctech2123,https://insights.blackcoffer.com/big-data-solution-to-an-online-multivendor-marketplace-ecommerce-business/,27,4,1,0.09281437098,26.60869565,29,22.24347826,26.60869565,116,400,2.15,23,5.97
bctech2125,https://insights.blackcoffer.com/azure-data-lake-and-power-bi-dashboard/,10,3,1,0.05909090882,26.92307692,46.98795181,29.56441149,26.92307692,117,249,2.62248996,5,7.096385542
bctech2112,https://insights.blackcoffer.com/real-time-dashboard-to-monitor-infrastructure-activity-and-machines/,1,3,-1,0.02312138715,22.5,37.8238342,24.12953368,22.5,73,193,2.269430052,10,6.549222798
bctech2128,https://insights.blackcoffer.com/marketing-sales-and-financial-data-business-dashboard-wink-report/,20,3,1,0.04166666659,27.55555556,31.58783784,23.65735736,27.55555556,187,592,2.189189189,9,6.192567568
bctech2129,https://insights.blackcoffer.com/react-native-apps-in-the-development-portfolio/,0,0,0,0,3.305555556,50,21.32222222,3.305555556,6,12,2.416666667,0,6.333333333
bctech2116,https://insights.blackcoffer.com/aws-lex-voice-and-chatbot/,22,1,1,0.07076923055,19.40625,26.44836272,18.34184509,19.40625,105,397,2.002518892,24,5.720403023
bctech2130,https://insights.blackcoffer.com/a-leading-firm-website-seo-optimization/,3,4,-1,0.06862745031,14.33333333,53.77358491,27.2427673,14.33333333,57,106,2.575471698,1,6.688679245
bctech2118,https://insights.blackcoffer.com/microsoft-azure-chatbot-with-luis-language-understanding/,7,2,1,0.05421686714,42.66666667,39.69072165,32.94295533,42.66666667,77,194,2.365979381,3,6.396907216
bctech2131,https://insights.blackcoffer.com/a-leading-hospitality-firm-in-the-usa-website-seo-optimization/,8,0,0.999999875,0.09195402193,15.11111111,39.13043478,21.69661836,15.11111111,36,92,2.47826087,3,6.826086957
bctech2133,https://insights.blackcoffer.com/a-leading-musical-instrumental-website-seo-optimization/,4,3,1,0.09459459332,10,48.68421053,23.47368421,10,37,76,2.421052632,1,6.578947368
bctech2132,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-website-seo-optimization/,6,5,1,0.09821428484,24.66666667,33.33333333,23.2,24.66666667,39,117,2.307692308,2,6.316239316
bctech2124,https://insights.blackcoffer.com/creating-a-custom-report-and-dashboard-using-the-data-got-from-atera-api/,2,3,-1,0.03968253937,14.73333333,37.14285714,20.75047619,14.73333333,52,140,2.278571429,10,6.342857143
bctech2134,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-seo-and-website-optimization/,3,1,1,0.04878048721,12.5,51.19047619,25.47619048,12.5,43,84,2.5,1,6.738095238
bctech2121,https://insights.blackcoffer.com/google-data-studio-dashboard-for-marketing-ads-and-traction-data/,13,4,1,0.05295950139,26.47619048,33.33333333,23.92380952,26.47619048,120,360,2.175,18,6.027777778
bctech2122,https://insights.blackcoffer.com/gangala-in-e-commerce-big-data-etl-elt-solution-and-data-warehouse/,9,3,1,0.05769230741,24.5,31.27572016,22.31028807,24.5,76,243,2.201646091,15,6.094650206
bctech2137,https://insights.blackcoffer.com/key-audit-matters-predictive-modeling/,4,8,-1,0.03973509921,26.38095238,42.47787611,27.54353139,26.38095238,144,339,2.451327434,8,6.589970501
bctech2138,https://insights.blackcoffer.com/splitting-of-songs-into-its-vocals-and-instrumental/,10,3,1,0.08124999949,24.9,35.40372671,24.12149068,24.9,57,161,2.354037267,9,6.670807453
bctech2126,https://insights.blackcoffer.com/google-data-studio-pipeline-with-gcp-mysql/,3,14,-1,0.0340681362,19.60526316,31.4229249,20.41127522,19.60526316,159,506,2.108695652,24,6.088932806
bctech2127,https://insights.blackcoffer.com/quickbooks-dashboard-to-find-patterns-in-finance-sales-and-forecasts/,31,17,1,0.04989604984,21.9516129,37.02564103,23.59090157,21.9516129,361,975,2.255384615,30,6.076923077
bctech2141,https://insights.blackcoffer.com/real-estate-data-warehouse/,7,0,0.9999998571,0.03499999983,17.33333333,33.19327731,20.21064426,17.33333333,79,238,2.294117647,5,6.584033613
bctech2142,https://insights.blackcoffer.com/traction-dashboards-of-marketing-campaigns-and-posts/,5,2,1,0.03517587922,18.95,37.83783784,22.71513514,18.95,84,222,2.261261261,16,6.59009009
bctech2135,https://insights.blackcoffer.com/immigration-datawarehouse-ai-based-recommendations/,17,7,1,0.06575342448,23.56666667,36.40776699,23.98977346,23.56666667,150,412,2.274271845,28,6.446601942
bctech2136,https://insights.blackcoffer.com/lipsync-automation-for-celebrities-and-influencers/,1,0,0.999999,0.00970873777,12.1875,41.02564103,21.28525641,12.1875,48,117,2.41025641,5,6.41025641
bctech2148,https://insights.blackcoffer.com/marketing-automation-tool-to-notify-lead-details-to-clients-over-email-and-phone/,8,4,1,0.07692307643,27.4,28.49462366,22.35784946,27.4,53,186,2.155913978,2,6
bctech2147,https://insights.blackcoffer.com/callrail-analytics-leads-report-alert/,3,2,1,0.03267973835,17.92857143,38.15028902,22.43154418,17.92857143,66,173,2.346820809,2,6.502890173
bctech2139,https://insights.blackcoffer.com/ai-and-ml-technologies-to-evaluate-learning-assessments/,13,3,1,0.06926406896,19.04347826,48.23529412,26.91150895,19.04347826,123,255,2.690196078,21,7.274509804
bctech2140,https://insights.blackcoffer.com/datawarehouse-and-recommendations-engine-for-airbnb/,10,6,1,0.06349206324,21.22727273,29.06574394,20.11720667,21.22727273,84,289,2.179930796,15,6.411764706
